packet_id,flow_id,priority,arrival_time_ms,outcome,service_time_ms,finish_time_ms,waiting_ms,sojourn_ms,deadline_ms,is_deadline_missed,tx_count,bler,is_success,snr_db,mcs,is_los
SRP-000006,SRP,3,120,delivered,121,122,1,2,50,False,1,3.069819670320495e-05,True,14.80437746270778,QPSK,False
HRP-000031,HRP,2,124,delivered,124,125,0,1,4,False,1,2.559943368396489e-10,True,18.421606150775133,QPSK,False
ETC-000028,ETC,1,127,delivered,127,128,0,1,1,False,1,1.2799716841982445e-10,True,30.73612042951995,16QAM,False
HRP-000032,HRP,2,128,delivered,128,129,0,1,4,False,1,2.559943368396489e-10,True,24.86349630493664,16QAM,False
ETC-000029,ETC,1,132,delivered,132,133,0,1,1,False,1,1.2799716841982445e-10,True,37.75777030288188,16QAM,True
HRP-000033,HRP,2,132,delivered,133,134,1,2,4,False,1,2.559943368396489e-10,True,30.808353418917854,16QAM,False
HRP-000034,HRP,2,136,delivered,136,137,0,1,4,False,1,2.559943368396489e-10,True,35.19372662614661,16QAM,True
HRP-000035,HRP,2,140,delivered,140,141,0,1,4,False,1,2.559943368396489e-10,True,25.418703880067376,16QAM,False
ETC-000030,ETC,1,141,delivered,141,142,0,1,1,False,1,1.2799716841982445e-10,True,27.030378029065425,16QAM,False
SRP-000007,SRP,3,140,delivered,142,143,2,3,50,False,1,1.6948282635098622e-06,True,15.54628468415067,QPSK,False
HRP-000036,HRP,2,144,delivered,144,145,0,1,4,False,1,2.559943368396489e-10,True,25.50618180064644,16QAM,False
ETC-000031,ETC,1,148,delivered,148,149,0,1,1,False,1,0.002538200574634719,True,19.12211461407034,16QAM,False
HRP-000037,HRP,2,148,delivered,149,150,1,2,4,False,1,2.3546119748418803e-06,True,21.9170817298101,16QAM,False
ETC-000032,ETC,1,152,delivered,152,153,0,1,1,False,1,3.539034643507133e-05,True,13.991470509102054,QPSK,False
HRP-000038,HRP,2,152,delivered,153,154,1,2,4,False,1,2.559943368396489e-10,True,26.12450073543401,16QAM,True
HRP-000039,HRP,2,156,delivered,156,157,0,1,4,False,1,2.559943368396489e-10,True,17.177430343870306,QPSK,False
HRP-000040,HRP,2,160,delivered,160,161,0,1,4,False,1,2.559943368396489e-10,True,24.044252114831096,16QAM,False
SRP-000008,SRP,3,160,delivered,161,162,1,2,50,False,1,1.5999646052478056e-09,True,26.3326539060489,16QAM,False
HRP-000041,HRP,2,164,delivered,164,165,0,1,4,False,1,2.559943368396489e-10,True,31.86481914152475,16QAM,False
HRP-000042,HRP,2,168,delivered,168,169,0,1,4,False,1,2.559943368396489e-10,True,34.13255635929761,16QAM,False
ETC-000033,ETC,1,171,delivered,171,172,0,1,1,False,1,2.853198478369734e-06,True,14.762398891278659,QPSK,False
HRP-000043,HRP,2,172,delivered,172,173,0,1,4,False,1,0.0004316798027000912,True,13.342852367551664,QPSK,False
ETC-000034,ETC,1,174,delivered,174,175,0,1,1,False,1,9.53278725956963e-08,True,15.628640678657533,QPSK,False
HRP-000044,HRP,2,176,delivered,176,177,0,1,4,False,1,2.559943368396489e-10,True,25.928842432049045,16QAM,False
ETC-000035,ETC,1,179,delivered,179,180,0,1,1,False,1,1.1573320080060512e-09,True,23.483506857479547,16QAM,False
HRP-000045,HRP,2,180,delivered,180,181,0,1,4,False,1,5.432322776610654e-06,True,21.684519631595407,16QAM,False
SRP-000009,SRP,3,180,delivered,181,182,1,2,50,False,1,1.5999646052478056e-09,True,19.000414214514365,QPSK,False
HRP-000046,HRP,2,184,delivered,184,185,0,1,4,False,1,2.174509503793942e-05,True,14.369354614103633,QPSK,False
ETC-000036,ETC,1,188,delivered,188,189,0,1,1,False,1,1.2799716841982445e-10,True,17.73998853170038,QPSK,False
HRP-000047,HRP,2,188,delivered,189,190,1,2,4,False,1,2.559943368396489e-10,True,27.89851639814113,16QAM,True
HRP-000048,HRP,2,192,delivered,192,193,0,1,4,False,1,0.008722317451226314,True,18.83932158001488,16QAM,False
ETC-000037,ETC,1,193,delivered,193,194,0,1,1,False,1,5.795451510082206e-05,True,20.712439827806936,16QAM,False
HRP-000049,HRP,2,196,delivered,196,197,0,1,4,False,1,8.376885518579513e-07,True,15.271876831415344,QPSK,False
HRP-000050,HRP,2,200,delivered,200,201,0,1,4,False,1,2.559943368396489e-10,True,27.92752443738667,16QAM,False
SRP-000010,SRP,3,200,delivered,201,202,1,2,50,False,1,1.5999646052478056e-09,True,24.49351712162709,16QAM,True
ETC-000038,ETC,1,203,delivered,203,204,0,1,1,False,1,3.250025075729468e-07,True,15.335081463586814,QPSK,False
HRP-000051,HRP,2,204,delivered,204,205,0,1,4,False,1,2.559943368396489e-10,True,16.99070351183483,QPSK,False
ETC-000039,ETC,1,208,delivered,208,209,0,1,1,False,1,1.2799716841982445e-10,True,24.592710633735805,16QAM,False
HRP-000052,HRP,2,208,delivered,209,210,1,2,4,False,1,2.694520162549452e-09,True,16.519604568764045,QPSK,False
HRP-000053,HRP,2,212,delivered,212,213,0,1,4,False,1,2.559943368396489e-10,True,41.794048352310185,16QAM,True
ETC-000040,ETC,1,215,delivered,215,216,0,1,1,False,1,1.2799716841982445e-10,True,28.700407224948723,16QAM,False
ETC-000041,ETC,1,216,delivered,216,217,0,1,1,False,1,1.2799716841982445e-10,True,37.59128943239388,16QAM,False
HRP-000054,HRP,2,216,delivered,217,218,1,2,4,False,1,2.559943368396489e-10,True,31.683691357410375,16QAM,False
ETC-000042,ETC,1,218,delivered,218,219,0,1,1,False,1,0.00036031929076218994,True,13.14071762692414,QPSK,False
ETC-000043,ETC,1,220,delivered,220,221,0,1,1,False,1,1.0481215895197238e-09,True,16.566936015262716,QPSK,False
ETC-000044,ETC,1,221,delivered,221,222,0,1,1,False,1,0.0008843027220947208,True,12.763092090736345,QPSK,False
HRP-000055,HRP,2,220,delivered,222,223,2,3,4,False,1,2.559943368396489e-10,True,24.896891048005525,16QAM,False
ETC-000045,ETC,1,223,delivered,223,224,0,1,1,False,1,1.2799716841982445e-10,True,17.12518386054593,QPSK,False
ETC-000046,ETC,1,224,delivered,224,225,0,1,1,False,1,1.2799716841982445e-10,True,27.96379370023507,16QAM,False
HRP-000056,HRP,2,224,delivered,225,226,1,2,4,False,1,2.559943368396489e-10,True,27.958399120907927,16QAM,False
ETC-000047,ETC,1,226,delivered,226,227,0,1,1,False,1,1.2799716841982445e-10,True,29.85963666762331,16QAM,False
SRP-000011,SRP,3,220,delivered,227,228,7,8,50,False,1,0.0003164179997118266,True,20.99693676823538,16QAM,False
HRP-000057,HRP,2,228,delivered,228,229,0,1,4,False,1,2.559943368396489e-10,True,30.624398765517327,16QAM,True
ETC-000048,ETC,1,232,delivered,232,233,0,1,1,False,1,1.2799716841982445e-10,True,34.7903996611876,16QAM,False
HRP-000058,HRP,2,232,tx_fail_requeue,233,234,1,2,4,False,1,0.21382495368993426,False,9.851799707648066,QPSK,False
HRP-000058,HRP,2,232,delivered,234,235,2,3,4,False,2,2.559943368396489e-10,True,25.85522151519681,16QAM,False
ETC-000049,ETC,1,235,delivered,235,236,0,1,1,False,1,0.0009737990437233002,True,19.581143897198892,16QAM,False
HRP-000059,HRP,2,236,delivered,236,237,0,1,4,False,1,4.2805936573131476e-10,True,16.855234513658726,QPSK,False
ETC-000050,ETC,1,238,delivered,238,239,0,1,1,False,1,1.2799716841982445e-10,True,26.716293469432276,16QAM,False
ETC-000051,ETC,1,240,delivered,240,241,0,1,1,False,1,1.2799716841982445e-10,True,29.596298007583208,16QAM,True
HRP-000060,HRP,2,240,delivered,241,242,1,2,4,False,1,2.559943368396489e-10,True,31.799413426360175,16QAM,True
ETC-000052,ETC,1,242,delivered,242,243,0,1,1,False,1,3.210203602943551e-08,True,22.800047374819584,16QAM,False
SRP-000012,SRP,3,240,delivered,243,244,3,4,50,False,1,1.5999646052478056e-09,True,32.21642097737496,16QAM,False
HRP-000061,HRP,2,244,delivered,244,245,0,1,4,False,1,0.007336507580053664,True,18.931478965036476,16QAM,False
HRP-000062,HRP,2,248,delivered,248,249,0,1,4,False,1,2.559943368396489e-10,True,38.34845709127343,16QAM,True
HRP-000063,HRP,2,252,delivered,252,253,0,1,4,False,1,2.559943368396489e-10,True,17.79340483952339,QPSK,False
ETC-000053,ETC,1,256,delivered,256,257,0,1,1,False,1,1.2799716841982445e-10,True,37.32375708508178,16QAM,False
HRP-000064,HRP,2,256,tx_fail_requeue,257,258,1,2,4,False,1,0.36493332064711126,False,9.296163593113988,QPSK,False
HRP-000064,HRP,2,256,delivered,258,259,2,3,4,False,2,2.559943368396489e-10,True,23.930026899213253,16QAM,False
HRP-000065,HRP,2,260,delivered,260,261,0,1,4,False,1,0.002372980735990793,True,19.48995204720569,16QAM,False
SRP-000013,SRP,3,260,delivered,261,262,1,2,50,False,1,1.5999646052478056e-09,True,28.465650398916317,16QAM,True
ETC-000054,ETC,1,262,delivered,262,263,0,1,1,False,1,1.2799716841982445e-10,True,26.30198680212748,16QAM,False
HRP-000066,HRP,2,264,delivered,264,265,0,1,4,False,1,0.048701400802431793,True,10.99660435391482,QPSK,False
ETC-000055,ETC,1,267,delivered,267,268,0,1,1,False,1,1.2799716841982445e-10,True,31.911355257808797,16QAM,False
ETC-000056,ETC,1,268,delivered,268,269,0,1,1,False,1,5.760951099498257e-07,True,15.1911581487684,QPSK,False
HRP-000067,HRP,2,268,delivered,269,270,1,2,4,False,1,0.059421001877556945,True,10.862711545971163,QPSK,False
HRP-000068,HRP,2,272,delivered,272,273,0,1,4,False,1,1.1924904441684703e-07,True,22.660200371075376,16QAM,False
ETC-000057,ETC,1,275,delivered,275,276,0,1,1,False,1,1.2799716841982445e-10,True,25.359659609030434,16QAM,False
ETC-000058,ETC,1,276,delivered,276,277,0,1,1,False,1,1.2799716841982445e-10,True,26.533154315903236,16QAM,False
HRP-000069,HRP,2,276,delivered,277,278,1,2,4,False,1,9.712357297186891e-06,True,14.610259578706103,QPSK,False
ETC-000059,ETC,1,279,delivered,279,280,0,1,1,False,1,1.2799716841982445e-10,True,25.837456953881013,16QAM,False
HRP-000070,HRP,2,280,delivered,280,281,0,1,4,False,1,2.559943368396489e-10,True,35.10636849599977,16QAM,True
SRP-000014,SRP,3,280,delivered,281,282,1,2,50,False,1,0.0016489081758431778,True,20.410613019254388,16QAM,False
HRP-000071,HRP,2,284,delivered,284,285,0,1,4,False,1,2.559943368396489e-10,True,34.28214948915449,16QAM,False
HRP-000072,HRP,2,288,delivered,288,289,0,1,4,False,1,2.559943368396489e-10,True,28.89456827971063,16QAM,False
HRP-000073,HRP,2,292,delivered,292,293,0,1,4,False,1,2.559943368396489e-10,True,30.442536632422353,16QAM,False
HRP-000074,HRP,2,296,delivered,296,297,0,1,4,False,1,0.0003420343120498215,True,20.311337185598784,16QAM,False
HRP-000075,HRP,2,300,delivered,300,301,0,1,4,False,1,0.058599357154104914,True,10.872236126040471,QPSK,False
SRP-000015,SRP,3,300,delivered,301,302,1,2,50,False,1,1.5999646052478056e-09,True,29.305618266796213,16QAM,False
