packet_id,flow_id,priority,arrival_time_ms,outcome,service_time_ms,finish_time_ms,first_tx_time_ms,delivered_time_ms,waiting_ms,queue_delay_ms,tx_time_ms,sojourn_ms,deadline_ms,is_deadline_missed,tx_count,bler,is_success,snr_db,mcs,is_los,bits_per_slot,bits_sent_this_slot,remaining_bits_after,bandwidth_eff_mhz
HRP-000036,HRP,2,144,delivered,144,145,144,145,0,0,1,1,4,False,1,2.559943368396489e-10,True,36.88362337722183,16QAM,False,60000,256,0,20.0
ETC-000031,ETC,1,148,delivered,148,149,148,149,0,0,1,1,1,False,1,1.2799716841982445e-10,True,38.91002067683366,16QAM,True,60000,128,0,20.0
HRP-000037,HRP,2,148,delivered,149,150,149,150,1,1,1,2,4,False,1,2.559943368396489e-10,True,38.4090676324761,16QAM,False,60000,256,0,20.0
ETC-000032,ETC,1,152,delivered,152,153,152,153,0,0,1,1,1,False,1,1.2799716841982445e-10,True,42.13295036718019,16QAM,True,60000,128,0,20.0
HRP-000038,HRP,2,152,delivered,153,154,153,154,1,1,1,2,4,False,1,2.559943368396489e-10,True,43.00357121831094,16QAM,True,60000,256,0,20.0
HRP-000039,HRP,2,156,delivered,156,157,156,157,0,0,1,1,4,False,1,2.559943368396489e-10,True,48.350858737448775,16QAM,False,60000,256,0,20.0
HRP-000040,HRP,2,160,delivered,160,161,160,161,0,0,1,1,4,False,1,2.559943368396489e-10,True,53.28280736234747,16QAM,False,60000,256,0,20.0
SRP-000008,SRP,3,160,delivered,161,162,161,162,1,1,1,2,50,False,1,1.5999646052478056e-09,True,37.027639559813686,16QAM,True,60000,1600,0,20.0
HRP-000041,HRP,2,164,delivered,164,165,164,165,0,0,1,1,4,False,1,2.559943368396489e-10,True,49.12334283905574,16QAM,True,60000,256,0,20.0
HRP-000042,HRP,2,168,delivered,168,169,168,169,0,0,1,1,4,False,1,2.559943368396489e-10,True,37.27900435211379,16QAM,True,60000,256,0,20.0
ETC-000033,ETC,1,171,delivered,171,172,171,172,0,0,1,1,1,False,1,1.2799716841982445e-10,True,38.617992498050654,16QAM,True,60000,128,0,20.0
HRP-000043,HRP,2,172,delivered,172,173,172,173,0,0,1,1,4,False,1,2.559943368396489e-10,True,42.26698658682629,16QAM,False,60000,256,0,20.0
ETC-000034,ETC,1,174,delivered,174,175,174,175,0,0,1,1,1,False,1,1.2799716841982445e-10,True,29.755223786683143,16QAM,False,60000,128,0,20.0
HRP-000044,HRP,2,176,delivered,176,177,176,177,0,0,1,1,4,False,1,2.559943368396489e-10,True,47.42518050241819,16QAM,True,60000,256,0,20.0
ETC-000035,ETC,1,179,delivered,179,180,179,180,0,0,1,1,1,False,1,1.2799716841982445e-10,True,31.51064493215289,16QAM,False,60000,128,0,20.0
HRP-000045,HRP,2,180,delivered,180,181,180,181,0,0,1,1,4,False,1,2.559943368396489e-10,True,39.66298956561454,16QAM,True,60000,256,0,20.0
SRP-000009,SRP,3,180,delivered,181,182,181,182,1,1,1,2,50,False,1,1.5999646052478056e-09,True,38.04443734562419,16QAM,True,60000,1600,0,20.0
HRP-000046,HRP,2,184,delivered,184,185,184,185,0,0,1,1,4,False,1,2.559943368396489e-10,True,45.409593003031645,16QAM,True,60000,256,0,20.0
ETC-000036,ETC,1,188,delivered,188,189,188,189,0,0,1,1,1,False,1,1.2799716841982445e-10,True,37.65084170369748,16QAM,True,60000,128,0,20.0
HRP-000047,HRP,2,188,delivered,189,190,189,190,1,1,1,2,4,False,1,2.559943368396489e-10,True,40.84284513882107,16QAM,True,60000,256,0,20.0
HRP-000048,HRP,2,192,delivered,192,193,192,193,0,0,1,1,4,False,1,2.559943368396489e-10,True,36.917238379620166,16QAM,False,60000,256,0,20.0
ETC-000037,ETC,1,193,delivered,193,194,193,194,0,0,1,1,1,False,1,1.2799716841982445e-10,True,38.66910881778708,16QAM,True,60000,128,0,20.0
HRP-000049,HRP,2,196,delivered,196,197,196,197,0,0,1,1,4,False,1,2.559943368396489e-10,True,35.970797973160636,16QAM,False,60000,256,0,20.0
HRP-000050,HRP,2,200,delivered,200,201,200,201,0,0,1,1,4,False,1,2.559943368396489e-10,True,25.008722804622522,16QAM,False,60000,256,0,20.0
SRP-000010,SRP,3,200,delivered,201,202,201,202,1,1,1,2,50,False,1,1.5999646052478056e-09,True,42.45710192901658,16QAM,True,60000,1600,0,20.0
ETC-000038,ETC,1,203,delivered,203,204,203,204,0,0,1,1,1,False,1,1.2799716841982445e-10,True,41.889212441692564,16QAM,True,60000,128,0,20.0
HRP-000051,HRP,2,204,delivered,204,205,204,205,0,0,1,1,4,False,1,2.559943368396489e-10,True,50.95401713549548,16QAM,True,60000,256,0,20.0
ETC-000039,ETC,1,208,delivered,208,209,208,209,0,0,1,1,1,False,1,1.2799716841982445e-10,True,45.13942386868407,16QAM,True,60000,128,0,20.0
