packet_id,ue_id,flow_id,flow_type,priority,size_bytes,arrival_time_ms,start_tx_time_ms,finish_time_ms,tx_duration_ms,deadline_ms,outcome,tx_count,is_deadline_missed,mcs,snr_db,bler
ETC-ue09-000003,9,ETC,ETC,1,16,13,13.0,14.0,1.0,1,delivered,1,False,16QAM,40.52673189654861,1.2799716841982445e-10
ETC-ue04-000001,4,ETC,ETC,1,16,14,14.0,15.0,1.0,1,delivered,1,False,16QAM,51.23880771449376,1.2799716841982445e-10
ETC-ue00-000004,0,ETC,ETC,1,16,16,16.0,17.0,1.0,1,delivered,1,False,16QAM,53.290016345962655,1.2799716841982445e-10
ETC-ue05-000003,5,ETC,ETC,1,16,16,16.0,17.0,1.0,1,delivered,1,False,16QAM,47.7265471385101,1.2799716841982445e-10
ETC-ue07-000001,7,ETC,ETC,1,16,16,16.0,17.0,1.0,1,delivered,1,False,16QAM,32.13387234152843,1.2799716841982445e-10
HRP-ue00-000004,0,HRP,HRP,2,32,16,16.0,17.0,1.0,4,delivered,1,False,16QAM,53.290016345962655,2.559943368396489e-10
HRP-ue01-000004,1,HRP,HRP,2,32,16,16.0,17.0,1.0,4,delivered,1,False,16QAM,49.93023734626105,2.559943368396489e-10
HRP-ue02-000004,2,HRP,HRP,2,32,16,16.0,17.0,1.0,4,delivered,1,False,16QAM,50.318437011606946,2.559943368396489e-10
HRP-ue03-000004,3,HRP,HRP,2,32,16,16.0,17.0,1.0,4,delivered,1,False,16QAM,50.993585956506884,2.559943368396489e-10
HRP-ue04-000004,4,HRP,HRP,2,32,16,16.0,17.0,1.0,4,delivered,1,False,16QAM,49.173129828600906,2.559943368396489e-10
HRP-ue05-000004,5,HRP,HRP,2,32,16,16.0,17.0,1.0,4,delivered,1,False,16QAM,47.7265471385101,2.559943368396489e-10
HRP-ue06-000004,6,HRP,HRP,2,32,16,16.0,18.0,2.0,4,delivered,2,False,16QAM,41.14664585585221,2.559943368396489e-10
HRP-ue07-000004,7,HRP,HRP,2,32,16,16.0,17.0,1.0,4,delivered,1,False,16QAM,32.13387234152843,2.559943368396489e-10
HRP-ue08-000004,8,HRP,HRP,2,32,16,16.0,17.0,1.0,4,delivered,1,False,16QAM,31.36856074618911,2.559943368396489e-10
HRP-ue09-000004,9,HRP,HRP,2,32,16,16.0,17.0,1.0,4,delivered,1,False,16QAM,52.69371562223168,2.559943368396489e-10
ETC-ue02-000002,2,ETC,ETC,1,16,17,17.0,18.0,1.0,1,delivered,1,False,16QAM,66.71762099673259,1.2799716841982445e-10
