packet_id,attempt_idx,t_tx_start_ms,mcs,snr_db,bler,is_success,bits_sent,remaining_bits_after
ETC-000042,1,218,16QAM,57.62561918210161,1.2799716841982445e-10,True,128,0
ETC-000043,1,220,16QAM,57.16613582404493,1.2799716841982445e-10,True,128,0
ETC-000044,1,221,16QAM,41.86075337583227,1.2799716841982445e-10,True,128,0
HRP-000055,1,222,16QAM,62.77550427972625,2.559943368396489e-10,True,256,0
ETC-000045,1,223,16QAM,54.817199003142235,1.2799716841982445e-10,True,128,0
ETC-000046,1,224,16QAM,72.19134239868511,1.2799716841982445e-10,True,128,0
HRP-000056,1,225,16QAM,59.873359865842474,2.559943368396489e-10,True,256,0
ETC-000047,1,226,16QAM,39.12145003007348,1.2799716841982445e-10,True,128,0
SRP-000011,1,227,16QAM,63.94365688634754,1.5999646052478056e-09,True,600,1000
HRP-000057,1,228,16QAM,61.43311015269064,2.559943368396489e-10,True,256,0
SRP-000011,2,229,16QAM,58.56000039494408,1.5999646052478056e-09,True,600,400
SRP-000011,3,230,16QAM,60.50310442213363,1.5999646052478056e-09,True,400,0
ETC-000048,1,232,16QAM,61.589145840076625,1.2799716841982445e-10,True,128,0
HRP-000058,1,233,16QAM,54.79154444237515,2.559943368396489e-10,True,256,0
ETC-000049,1,235,16QAM,61.434781193050235,1.2799716841982445e-10,True,128,0
HRP-000059,1,236,16QAM,58.577410320773915,2.559943368396489e-10,True,256,0
ETC-000050,1,238,16QAM,79.35492153719322,1.2799716841982445e-10,True,128,0
ETC-000051,1,240,16QAM,46.27991261285602,1.2799716841982445e-10,True,128,0
HRP-000060,1,241,16QAM,64.31706160783358,2.559943368396489e-10,True,256,0
ETC-000052,1,242,16QAM,54.38938891775366,1.2799716841982445e-10,True,128,0
SRP-000012,1,243,16QAM,45.57905627794326,1.5999646052478056e-09,True,600,1000
HRP-000061,1,244,16QAM,51.17265087637317,2.559943368396489e-10,True,256,0
SRP-000012,2,245,16QAM,63.61886780191685,1.5999646052478056e-09,True,600,400
SRP-000012,3,246,16QAM,62.86017376377775,1.5999646052478056e-09,True,400,0
HRP-000062,1,248,16QAM,53.56365594831212,2.559943368396489e-10,True,256,0
HRP-000063,1,252,16QAM,60.82823121869171,2.559943368396489e-10,True,256,0
ETC-000053,1,256,16QAM,58.06150040570878,1.2799716841982445e-10,True,128,0
HRP-000064,1,257,16QAM,52.75463773051271,2.559943368396489e-10,True,256,0
HRP-000065,1,260,16QAM,64.80119247021166,2.559943368396489e-10,True,256,0
SRP-000013,1,261,16QAM,65.21185562561747,1.5999646052478056e-09,True,600,1000
ETC-000054,1,262,16QAM,69.3442990596716,1.2799716841982445e-10,True,128,0
SRP-000013,2,263,16QAM,52.35128451355884,1.5999646052478056e-09,True,600,400
HRP-000066,1,264,16QAM,55.27668169361179,2.559943368396489e-10,True,256,0
SRP-000013,3,265,16QAM,55.274388350129314,1.5999646052478056e-09,True,400,0
