packet_id,flow_id,priority,t_arrival_ms,t_first_tx_ms,t_done_ms,queue_delay_ms,sojourn_ms,deadline_ms,is_deadline_missed,outcome,tx_count,is_success,mcs,snr_db,bler,bandwidth_eff_mhz,bits_per_slot_eff,packet_bits
HRP-000040,HRP,2,160,160,161,0,1,4,False,delivered,1,True,16QAM,55.970797973160636,2.559943368396489e-10,0.2,600,256
SRP-000008,SRP,3,160,161,164,1,4,50,False,delivered,3,True,16QAM,61.889212441692564,1.5999646052478056e-09,0.2,600,1600
HRP-000041,HRP,2,164,164,165,0,1,4,False,delivered,1,True,16QAM,70.95401713549548,2.559943368396489e-10,0.2,600,256
HRP-000042,HRP,2,168,168,169,0,1,4,False,delivered,1,True,16QAM,65.13942386868408,2.559943368396489e-10,0.2,600,256
ETC-000033,ETC,1,171,171,172,0,1,1,False,delivered,1,True,16QAM,59.306496692045336,1.2799716841982445e-10,0.2,600,128
HRP-000043,HRP,2,172,172,173,0,1,4,False,delivered,1,True,16QAM,40.5623296348507,2.559943368396489e-10,0.2,600,256
ETC-000034,ETC,1,174,174,175,0,1,1,False,delivered,1,True,16QAM,57.95034441690781,1.2799716841982445e-10,0.2,600,128
HRP-000044,HRP,2,176,176,177,0,1,4,False,delivered,1,True,16QAM,61.137943967778945,2.559943368396489e-10,0.2,600,256
ETC-000035,ETC,1,179,179,180,0,1,1,False,delivered,1,True,16QAM,53.58136678875834,1.2799716841982445e-10,0.2,600,128
HRP-000045,HRP,2,180,180,181,0,1,4,False,delivered,1,True,16QAM,63.22490734862488,2.559943368396489e-10,0.2,600,256
SRP-000009,SRP,3,180,181,184,1,4,50,False,delivered,3,True,16QAM,63.23225911248963,1.5999646052478056e-09,0.2,600,1600
HRP-000046,HRP,2,184,184,185,0,1,4,False,delivered,1,True,16QAM,60.43588465982009,2.559943368396489e-10,0.2,600,256
ETC-000036,ETC,1,188,188,189,0,1,1,False,delivered,1,True,16QAM,54.138897812742535,1.2799716841982445e-10,0.2,600,128
HRP-000047,HRP,2,188,189,190,1,2,4,False,delivered,1,True,16QAM,69.545278531946,2.559943368396489e-10,0.2,600,256
HRP-000048,HRP,2,192,192,193,0,1,4,False,delivered,1,True,16QAM,63.06786130341375,2.559943368396489e-10,0.2,600,256
ETC-000037,ETC,1,193,193,194,0,1,1,False,delivered,1,True,16QAM,52.57906907564431,1.2799716841982445e-10,0.2,600,128
HRP-000049,HRP,2,196,196,197,0,1,4,False,delivered,1,True,16QAM,43.411374944572216,2.559943368396489e-10,0.2,600,256
HRP-000050,HRP,2,200,200,201,0,1,4,False,delivered,1,True,16QAM,50.90885717350058,2.559943368396489e-10,0.2,600,256
SRP-000010,SRP,3,200,201,206,1,6,50,False,delivered,3,True,16QAM,64.37968483129849,1.5999646052478056e-09,0.2,600,1600
ETC-000038,ETC,1,203,203,204,0,1,1,False,delivered,1,True,16QAM,60.78014910144371,1.2799716841982445e-10,0.2,600,128
HRP-000051,HRP,2,204,204,205,0,1,4,False,delivered,1,True,16QAM,60.96917194283147,2.559943368396489e-10,0.2,600,256
ETC-000039,ETC,1,208,208,209,0,1,1,False,delivered,1,True,16QAM,57.98546408870852,1.2799716841982445e-10,0.2,600,128
HRP-000052,HRP,2,208,209,210,1,2,4,False,delivered,1,True,16QAM,51.18691650493513,2.559943368396489e-10,0.2,600,256
HRP-000053,HRP,2,212,212,213,0,1,4,False,delivered,1,True,16QAM,62.740691883931405,2.559943368396489e-10,0.2,600,256
ETC-000040,ETC,1,215,215,216,0,1,1,False,delivered,1,True,16QAM,60.85969291817531,1.2799716841982445e-10,0.2,600,128
ETC-000041,ETC,1,216,216,217,0,1,1,False,delivered,1,True,16QAM,59.78943503874149,1.2799716841982445e-10,0.2,600,128
HRP-000054,HRP,2,216,217,218,1,2,4,False,delivered,1,True,16QAM,50.354101069123146,2.559943368396489e-10,0.2,600,256
ETC-000042,ETC,1,218,218,219,0,1,1,False,delivered,1,True,16QAM,57.62561918210161,1.2799716841982445e-10,0.2,600,128
ETC-000043,ETC,1,220,220,221,0,1,1,False,delivered,1,True,16QAM,57.16613582404493,1.2799716841982445e-10,0.2,600,128
HRP-000055,HRP,2,220,222,223,2,3,4,False,delivered,1,True,16QAM,62.77550427972625,2.559943368396489e-10,0.2,600,256
SRP-000011,SRP,3,220,227,231,7,11,50,False,delivered,3,True,16QAM,60.50310442213363,1.5999646052478056e-09,0.2,600,1600
ETC-000044,ETC,1,221,221,222,0,1,1,False,delivered,1,True,16QAM,41.86075337583227,1.2799716841982445e-10,0.2,600,128
ETC-000045,ETC,1,223,223,224,0,1,1,False,delivered,1,True,16QAM,54.817199003142235,1.2799716841982445e-10,0.2,600,128
ETC-000046,ETC,1,224,224,225,0,1,1,False,delivered,1,True,16QAM,72.19134239868511,1.2799716841982445e-10,0.2,600,128
HRP-000056,HRP,2,224,225,226,1,2,4,False,delivered,1,True,16QAM,59.873359865842474,2.559943368396489e-10,0.2,600,256
ETC-000047,ETC,1,226,226,227,0,1,1,False,delivered,1,True,16QAM,39.12145003007348,1.2799716841982445e-10,0.2,600,128
HRP-000057,HRP,2,228,228,229,0,1,4,False,delivered,1,True,16QAM,61.43311015269064,2.559943368396489e-10,0.2,600,256
ETC-000048,ETC,1,232,232,233,0,1,1,False,delivered,1,True,16QAM,61.589145840076625,1.2799716841982445e-10,0.2,600,128
HRP-000058,HRP,2,232,233,234,1,2,4,False,delivered,1,True,16QAM,54.79154444237515,2.559943368396489e-10,0.2,600,256
ETC-000049,ETC,1,235,235,236,0,1,1,False,delivered,1,True,16QAM,61.434781193050235,1.2799716841982445e-10,0.2,600,128
HRP-000059,HRP,2,236,236,237,0,1,4,False,delivered,1,True,16QAM,58.577410320773915,2.559943368396489e-10,0.2,600,256
ETC-000050,ETC,1,238,238,239,0,1,1,False,delivered,1,True,16QAM,79.35492153719322,1.2799716841982445e-10,0.2,600,128
ETC-000051,ETC,1,240,240,241,0,1,1,False,delivered,1,True,16QAM,46.27991261285602,1.2799716841982445e-10,0.2,600,128
HRP-000060,HRP,2,240,241,242,1,2,4,False,delivered,1,True,16QAM,64.31706160783358,2.559943368396489e-10,0.2,600,256
SRP-000012,SRP,3,240,243,247,3,7,50,False,delivered,3,True,16QAM,62.86017376377775,1.5999646052478056e-09,0.2,600,1600
ETC-000052,ETC,1,242,242,243,0,1,1,False,delivered,1,True,16QAM,54.38938891775366,1.2799716841982445e-10,0.2,600,128
HRP-000061,HRP,2,244,244,245,0,1,4,False,delivered,1,True,16QAM,51.17265087637317,2.559943368396489e-10,0.2,600,256
HRP-000062,HRP,2,248,248,249,0,1,4,False,delivered,1,True,16QAM,53.56365594831212,2.559943368396489e-10,0.2,600,256
HRP-000063,HRP,2,252,252,253,0,1,4,False,delivered,1,True,16QAM,60.82823121869171,2.559943368396489e-10,0.2,600,256
ETC-000053,ETC,1,256,256,257,0,1,1,False,delivered,1,True,16QAM,58.06150040570878,1.2799716841982445e-10,0.2,600,128
HRP-000064,HRP,2,256,257,258,1,2,4,False,delivered,1,True,16QAM,52.75463773051271,2.559943368396489e-10,0.2,600,256
HRP-000065,HRP,2,260,260,261,0,1,4,False,delivered,1,True,16QAM,64.80119247021166,2.559943368396489e-10,0.2,600,256
SRP-000013,SRP,3,260,261,266,1,6,50,False,delivered,3,True,16QAM,55.274388350129314,1.5999646052478056e-09,0.2,600,1600
ETC-000054,ETC,1,262,262,263,0,1,1,False,delivered,1,True,16QAM,69.3442990596716,1.2799716841982445e-10,0.2,600,128
HRP-000066,HRP,2,264,264,265,0,1,4,False,delivered,1,True,16QAM,55.27668169361179,2.559943368396489e-10,0.2,600,256
ETC-000055,ETC,1,267,267,268,0,1,1,False,delivered,1,True,16QAM,66.43730672425234,1.2799716841982445e-10,0.2,600,128
